total confirmed,total deaths,new confirmed,new deaths,date
65,0,65,0,2020/03/18
80,0,15,0,2020/03/19
87,0,7,0,2020/03/20
106,0,19,0,2020/03/21
134,0,28,0,2020/03/22
152,0,18,0,2020/03/23
181,1,29,1,2020/03/24
213,2,32,1,2020/03/25
261,1,48,-1,2020/03/26
285,2,24,1,2020/03/27
300,3,15,1,2020/03/28
333,5,33,2,2020/03/29
368,5,35,0,2020/03/30
404,5,36,0,2020/03/31
432,6,28,1,2020/04/01
473,6,41,0,2020/04/02
506,6,33,0,2020/04/03
537,6,31,0,2020/04/04
559,6,22,0,2020/04/05
586,6,27,0,2020/04/06
636,6,50,0,2020/04/07
687,7,51,1,2020/04/08
748,8,61,1,2020/04/09
797,12,49,4,2020/04/10
860,12,63,0,2020/04/11
886,12,26,0,2020/04/12
959,15,73,3,2020/04/13
968,15,9,0,2020/04/14
1006,17,38,2,2020/04/15
1039,17,33,0,2020/04/16
1090,20,51,3,2020/04/17
1144,20,54,0,2020/04/18
1153,20,9,0,2020/04/19
1223,20,70,0,2020/04/20
1232,20,9,0,2020/04/21
1255,21,23,1,2020/04/22
1312,21,57,0,2020/04/23
1345,22,33,1,2020/04/24
1341,22,-4,0,2020/04/25
1403,23,62,1,2020/04/26
1453,23,50,0,2020/04/27
1471,23,18,0,2020/04/28
1489,23,18,0,2020/04/29
1518,26,29,3,2020/04/30
1552,29,34,3,2020/05/01
1632,29,80,0,2020/05/02
1692,30,60,1,2020/05/03
1760,31,68,1,2020/05/04
1779,31,19,0,2020/05/05
1804,31,25,0,2020/05/06
1852,32,48,1,2020/05/07
1890,33,38,1,2020/05/08
1944,34,54,1,2020/05/09
1953,34,9,0,2020/05/10
1974,35,21,1,2020/05/11
1981,35,7,0,2020/05/12
2004,35,23,0,2020/05/13
2029,35,25,0,2020/05/14
2062,36,33,1,2020/05/15
2094,36,32,0,2020/05/16
2132,36,38,0,2020/05/17
2183,36,51,0,2020/05/18
2186,36,3,0,2020/05/19
2199,37,13,1,2020/05/20
2248,37,49,0,2020/05/21
2251,40,3,3,2020/05/22
2312,40,61,0,2020/05/23
2318,40,6,0,2020/05/24
2358,40,40,0,2020/05/25
2363,40,5,0,2020/05/26
2394,40,31,0,2020/05/27
2417,40,23,0,2020/05/28
2453,41,36,1,2020/05/29
2496,41,43,0,2020/05/30
2501,42,5,1,2020/05/31
2546,43,45,1,2020/06/01
2554,43,8,0,2020/06/02
2608,43,54,0,2020/06/03
2636,43,28,0,2020/06/04
2675,43,39,0,2020/06/05
2674,43,-1,0,2020/06/06
2674,43,0,0,2020/06/07
2715,43,41,0,2020/06/08
2749,44,34,1,2020/06/09
2774,44,25,0,2020/06/10
2766,44,-8,0,2020/06/11
2823,44,57,0,2020/06/12
2834,44,11,0,2020/06/13
2834,45,0,1,2020/06/14
2833,45,-1,0,2020/06/15
2893,46,60,1,2020/06/16
2906,47,13,1,2020/06/17
2951,47,45,0,2020/06/18
2968,47,17,0,2020/06/19
2999,47,31,0,2020/06/20
3000,47,1,0,2020/06/21
3000,48,0,1,2020/06/22
3177,48,177,0,2020/06/23
3216,48,39,0,2020/06/24
3258,48,42,0,2020/06/25
3341,48,83,0,2020/06/26
3393,49,52,1,2020/06/27
3447,50,54,1,2020/06/28
3511,50,64,0,2020/06/29
3601,50,90,0,2020/06/30
3624,50,23,0,2020/07/01
3676,50,52,0,2020/07/02
3781,50,105,0,2020/07/03
3861,50,80,0,2020/07/04
3861,50,0,0,2020/07/05
3861,50,0,0,2020/07/06
4045,50,184,0,2020/07/07
4093,50,48,0,2020/07/08
4143,50,50,0,2020/07/09
4305,50,162,0,2020/07/10
4430,50,125,0,2020/07/11
4535,50,105,0,2020/07/12
4595,50,60,0,2020/07/13
4659,50,64,0,2020/07/14
4757,50,98,0,2020/07/15
4838,51,81,1,2020/07/16
4967,52,129,1,2020/07/17
5051,52,84,0,2020/07/18
5094,52,43,0,2020/07/19
5090,52,-4,0,2020/07/20
5377,53,287,1,2020/07/21
5473,53,96,0,2020/07/22
5543,55,70,2,2020/07/23
5611,56,68,1,2020/07/24
